objectid;Statut;Status;Status;Gestionnaire;Beheerder;Manager;Réseau;Netwerk;Network;Catégorie;Categorie;Category;Type;Type;Type;type_concat_fr;type_concat_nl;type_concat_en;Heures d'ouverture;Accessibilité;Toegankelijkheid;Accessibility;Tarification;Tarieven;Pricing;Localisation;Locatie;Location;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;name_concat;address_concat_fr;address_concat_nl;Google Maps;Google Street View;Geo Point;Geo Shape
1297;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";11:00 - 22:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Le Pavé;Le Pavé;Le Pavé;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.83681564975921%2C4.344891509934383;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83681564975921%2C4.344891509934383;50.8368156525, 4.3448915057;"{""coordinates"": [4.3448915057, 50.8368156525], ""type"": ""Point""}"
1602;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";08:00 - 21:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Le Paon d'Or;Le Paon d'Or;Le Paon d'Or;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.83715775470429%2C4.345299262180441;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83715775470429%2C4.345299262180441;50.8371577592, 4.3452992565;"{""coordinates"": [4.3452992565, 50.8371577592], ""type"": ""Point""}"
1603;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";09:00 - 21:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Le Chineur;Le Chineur;Le Chineur;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.83750549694359%2C4.346584081326034;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83750549694359%2C4.346584081326034;50.8375054987, 4.3465840771;"{""coordinates"": [4.3465840771, 50.8375054987], ""type"": ""Point""}"
1607;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";12:00 - 22:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;L'Aquarelle;L'Aquarelle;L'Aquarelle;;;1020;Bruxelles;Brussel;Laeken;Laken;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Laeken -  - 1020 Bruxelles;Laken -  - 1020 Brussel;https://www.google.com/maps/search/?api=1&query=50.88817114586134%2C4.339699958718411;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88817114586134%2C4.339699958718411;50.8881711468, 4.3396999587;"{""coordinates"": [4.3396999587, 50.8881711468], ""type"": ""Point""}"
1614;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";11:00 - 22:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Pipet Café;Pipet Café;Pipet Café;;;1020;Bruxelles;Brussel;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Neder-Over-Heembeek/Mutsaard -  - 1020 Bruxelles;Neder-Over-Heembeek/Mutsaard -  - 1020 Brussel;https://www.google.com/maps/search/?api=1&query=50.900499091412506%2C4.360712145438072;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.900499091412506%2C4.360712145438072;50.9004990923, 4.360712144;"{""coordinates"": [4.360712144, 50.9004990923], ""type"": ""Point""}"
1930;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";08:00 - 01:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Chez Richard;Chez Richard;Chez Richard;;;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Pentagone -  - 1000 Bruxelles;Vijfhoek -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.84127481936842%2C4.353930036610582;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84127481936842%2C4.353930036610582;50.8412748158, 4.3539300324;"{""coordinates"": [4.3539300324, 50.8412748158], ""type"": ""Point""}"
2245;Existant;Bestaand;Existing;STIB;MIVB;STIB;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / STIB);toilet (openbaar netwerk / MIVB);toilet (public network / STIB);24/24;PMR;PBM;PRM;Payant;Betalend;Paying;;;;;;1020;Bruxelles;Brussel;Laeken;Laken;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Laeken -  - 1020 Bruxelles;Laken -  - 1020 Brussel;https://www.google.com/maps/search/?api=1&query=50.89355287094649%2C4.331150109625516;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89355287094649%2C4.331150109625516;50.89355287, 4.3311501125;"{""coordinates"": [4.3311501125, 50.89355287], ""type"": ""Point""}"
2270;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";Lu-ve/Ma-vr 10:00-18:00, WE 10:00-20:00;PMR;PBM;PRM;Payant;Betalend;Paying;Woodpecker;Woodpecker;Woodpecker;;;1000;Bruxelles;Brussel;Louise;Louiza;"toilette PMR (réseau ""toilettes accueillantes"") / PBM toilet (""gastvrije toiletten"" netwerk) / PRM toilet (""accessible toilets"" network)";Louise -  - 1000 Bruxelles;Louiza -  - 1000 Brussel;https://www.google.com/maps/search/?api=1&query=50.806806102555626%2C4.378942018665143;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.806806102555626%2C4.378942018665143;50.8068061053, 4.3789420258;"{""coordinates"": [4.3789420258, 50.8068061053], ""type"": ""Point""}"
692;Existant;Bestaand;Existing;Ville de Bruxelles;Stad Brussel;Ville de Bruxelles;réseau public;openbaar netwerk;public network;toilette publique;openbaar toilet;public toilet;toilette;toilet;toilet;toilette (réseau public / Ville de Bruxelles);toilet (openbaar netwerk / Stad Brussel);toilet (public network / Ville de Bruxelles);24/24;PMR;PBM;PRM;Gratuit;Gratis;Free;;;;;;1130;Bruxelles;Brussel;Haren;Haren;toilette PMR (réseau public) / PBM toilet (openbaar netwerk) / PRM toilet (public network);Haren -  - 1130 Bruxelles;Haren -  - 1130 Brussel;https://www.google.com/maps/search/?api=1&query=50.89680557038641%2C4.419325724525196;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89680557038641%2C4.419325724525196;50.8968055749, 4.4193257217;"{""coordinates"": [4.4193257217, 50.8968055749], ""type"": ""Point""}"
2566;Existant;Bestaand;Existing;gestionnaire privé;privé beheerder;private manager;"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";"réseau ""toilettes accueillantes""";"""gastvrije toiletten"" netwerk";"""accessible toilets"" network";toilette;toilet;toilet;"toilette (réseau ""toilettes accueillantes"" / gestionnaire privé)";"toilet (""gastvrije toiletten"" netwerk / privé beheerder)";"toilet (""accessible toilets"" network / private manager)";06:00 - 01:00;non PMR;niet PBM;not PRM;Gratuit;Gratis;Free;Café Théâtre des Artistes;Café Théâtre des Artistes;Café Théâtre des Artistes;;;1020;Bruxelles;Brussel;Laeken;Laken;"toilette non PMR (réseau ""toilettes accueillantes"") / niet PBM toilet (""gastvrije toiletten"" netwerk) / not PRM toilet (""accessible toilets"" network)";Laeken -  - 1020 Bruxelles;Laken -  - 1020 Brussel;https://www.google.com/maps/search/?api=1&query=50.88039159591333%2C4.349219499291583;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88039159591333%2C4.349219499291583;50.8803915959, 4.349219495;"{""coordinates"": [4.349219495, 50.8803915959], ""type"": ""Point""}"
