objectid;Type;Type;Type;Statut;Localisation;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;Quartier / Wijk;Tarification;Tarieven;Pricing;Accessibilité PMR;Toegankelijkheid PBM;PRM accessibility;Catégorie;Categorie;Category;Heures d'ouverture;Gestionnaire;Beheerder;Managed by;Google Maps;Google Street View;Geo Point;Geo Shape
5;URINOIR;URINOIR;URINAL;Bestaand / Existant;;24, Avenue Impératrice Charlotte;24, Keizerin Charlottelaan;1020;Bruxelles;Brussel;Laeken;Laken;Laeken / Laken;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.8967038024102%2C4.329491475819113;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8967038024102%2C4.329491475819113;50.8967038024, 4.3294914716;"{""coordinates"": [4.3294914716, 50.8967038024], ""type"": ""Point""}"
15;URINOIR;URINOIR;URINAL;Bestaand / Existant;;23, Rue Hubert Stiernet;23, Hubert Stiernetstraat;1020;Bruxelles;Brussel;Laeken;Laken;Laeken / Laken;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.87658601240681%2C4.357990108340369;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87658601240681%2C4.357990108340369;50.8765860124, 4.3579901041;"{""coordinates"": [4.3579901041, 50.8765860124], ""type"": ""Point""}"
32;URINOIR;URINOIR;URINAL;Bestaand / Existant;;47, Boulevard de l'Abattoir;47, Slachthuislaan;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.84530111267242%2C4.338443499341657;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84530111267242%2C4.338443499341657;50.8453011127, 4.3384434951;"{""coordinates"": [4.3384434951, 50.8453011127], ""type"": ""Point""}"
1;URINOIR;URINOIR;URINAL;Bestaand / Existant;;38, Rue Saint-Christophe;38, Sint-Kristoffelsstraat;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.847071916154285%2C4.346000751031795;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.847071916154285%2C4.346000751031795;50.8470719162, 4.3460007468;"{""coordinates"": [4.3460007468, 50.8470719162], ""type"": ""Point""}"
14;URINOIR;URINOIR;URINAL;Bestaand / Existant;;22, Avenue Jean Palfyn;22, Jan Palfynlaan;1020;Bruxelles;Brussel;Laeken;Laken;Laeken / Laken;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.893618476849014%2C4.332315510397148;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.893618476849014%2C4.332315510397148;50.8936184795, 4.3323155104;"{""coordinates"": [4.3323155104, 50.8936184795], ""type"": ""Point""}"
31;URINOIR;URINOIR;URINAL;Bestaand / Existant;;1, Place du Béguinage;1, Begijnhof;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.852466563235076%2C4.350334473725094;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.852466563235076%2C4.350334473725094;50.8524665614, 4.3503344709;"{""coordinates"": [4.3503344709, 50.8524665614], ""type"": ""Point""}"
63;URINOIR;URINOIR;URINAL;Bestaand / Existant;;21, Rue Tielemans;21, Tielemansstraat;1020;Bruxelles;Brussel;Laeken;Laken;Laeken / Laken;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.87643535889069%2C4.3471747623064765;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87643535889069%2C4.3471747623064765;50.8764353589, 4.347174758;"{""coordinates"": [4.347174758, 50.8764353589], ""type"": ""Point""}"
67;URINOIR;URINOIR;URINAL;Bestaand / Existant;;23, Rue des Pierres;23, Steenstraat;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.84730852494432%2C4.349615881086999;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84730852494432%2C4.349615881086999;50.8473085258, 4.3496158811;"{""coordinates"": [4.3496158811, 50.8473085258], ""type"": ""Point""}"
72;URINOIR;URINOIR;URINAL;Bestaand / Existant;;41, Rue de Villers;41, Villersstraat;1000;Bruxelles;Brussel;Pentagone;Vijfhoek;Pentagone / Vijfhoek;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.843269900911714%2C4.351213201013376;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.843269900911714%2C4.351213201013376;50.8432699036, 4.3512132067;"{""coordinates"": [4.3512132067, 50.8432699036], ""type"": ""Point""}"
9;URINOIR;URINOIR;URINAL;Bestaand / Existant;;194, Avenue Houba de Strooper;194, Houba de Strooperlaan;1020;Bruxelles;Brussel;Laeken;Laken;Laeken / Laken;;;;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=50.890732735715794%2C4.33641474740759;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.890732735715794%2C4.33641474740759;50.8907327357, 4.3364147517;"{""coordinates"": [4.3364147517, 50.8907327357], ""type"": ""Point""}"
